Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2020-08-24,32.71977901059935,33.11281089740176,31.678250882563763,31.756855010986328,1745400,0.0,0.0,31.413988
2020-08-25,31.75685610438533,32.06145601455616,31.019924102430416,31.521039962768555,1015700,0.0,0.0,30.771309
2020-08-26,31.521037918409927,31.579990075875667,29.97839212011236,30.62689208984375,1167100,0.0,0.0,30.663086
2020-08-27,30.6956720052735,31.049399941829574,29.93908808502406,30.430376052856445,1040800,0.0,0.0,29.7698
2020-08-28,30.43037675223013,31.2459147226106,29.56571073358328,31.13783264160156,1680400,0.0,0.0,29.648699
2020-08-31,30.960970204569257,31.12800820071903,30.155258178710938,30.155258178710938,901800,0.0,0.0,30.244028
2020-09-01,30.273165835774087,30.636719777989185,29.693445849664737,30.56793975830078,1324700,0.0,0.0,29.232008
2020-09-02,30.75462674379764,31.17713470570653,30.037346744057626,30.273164749145508,848300,0.0,0.0,29.787176
2020-09-03,30.174908037446244,30.45002999191813,29.722923977365628,30.096302032470703,803600,0.0,0.0,29.374458
2020-09-04,30.26333846036081,30.351770445643915,28.75999845877777,30.0176944732666,927000,0.0,0.0,29.275307
2020-09-08,29.6246633573213,30.459853256931083,29.50675529744393,30.224035263061523,622100,0.0,0.0,29.190123
2020-09-09,30.233863102411505,31.069053053273823,30.08647708146285,30.55811309814453,829800,0.0,0.0,29.376596
2020-09-10,30.54828709914539,31.29504506226383,29.732749117890965,29.860483169555664,730600,0.0,0.0,29.663782
2020-09-11,29.9390870498354,30.1159510119981,28.97616311596603,29.80152702331543,782800,0.0,0.0,28.989094
2020-09-14,29.781876746534987,30.52863469911529,29.73274869830684,30.44020271301269,989700,0.0,0.0,29.03543
2020-09-15,30.55811261315918,30.55811261315918,29.66396864293127,30.07665061950684,1211900,0.0,0.0,29.578926
2020-09-16,30.2043859100278,30.371423904411284,29.369195938110348,29.36919593811035,811100,0.0,0.0,29.167017
2020-09-17,29.31024244150455,29.31024244150455,28.47505245424444,28.985992431640625,1372200,0.0,0.0,28.587524
2020-09-18,28.927037091225912,28.93686307582299,27.816725195250243,28.101673126220703,2358800,0.0,0.0,28.257458
2020-09-21,28.10167407834073,28.10167407834073,27.1878780951162,27.305788040161133,1056100,0.0,0.0,27.369896
2020-09-22,27.40404117473429,27.797073032928257,27.040489142254103,27.708641052246094,816200,0.0,0.0,26.64809
2020-09-23,27.777421656215708,28.082019666093647,27.24682976083333,27.35491371154785,871000,0.0,0.0,27.05638
2020-09-24,27.354915850687668,28.23923387136333,26.804673818240698,27.94446182250977,1124800,0.0,0.0,26.588308
